index,Toei Animation,Bandai Namco Holdings,Kadokawa Corporation,Avex Group (Anime Music / Production),Bushiroad (Media Mix / Anime IP),TV Tokyo Holdings,Fuji Media Holdings,Nippon TV Holdings (Owns Studio Ghibli),Tokyo Broadcasting System (TBS),Asahi Broadcasting Group,WOWOW (Anime channel),Kadokawa Pictures (covered by Kadokawa),Happinet (anime distributor),Square Enix Holdings,Media Do (digital manga),Takara Tomy,Pony Canyon,Netflix (Anime Production),Amazon (Anime Licensing),Disney (Anime streaming),Rakuten (Rakuten TV),Sega Sammy Holdings,Konami Group,Capcom,Koei Tecmo,SoftBank Group,LINE Yahoo Japan (Z Holdings),GREE (anime mobile games),DeNA (anime mobile games),TotalValue
1962Q1,,,,,,,,,,,,,,,,,,,,166424631.49,,,,,,,,,,166424631.49
1962Q2,,,,,,,,,,,,,,,,,,,,119112691.91,,,,,,,,,,119112691.91
1962Q3,,,,,,,,,,,,,,,,,,,,114103170.67,,,,,,,,,,114103170.67
1962Q4,,,,,,,,,,,,,,,,,,,,128992481.63,,,,,,,,,,128992481.63
1963Q1,,,,,,,,,,,,,,,,,,,,155364764.76,,,,,,,,,,155364764.76
1963Q2,,,,,,,,,,,,,,,,,,,,173137308.81,,,,,,,,,,173137308.81
1963Q3,,,,,,,,,,,,,,,,,,,,192056024.50,,,,,,,,,,192056024.50
1963Q4,,,,,,,,,,,,,,,,,,,,181163968.72,,,,,,,,,,181163968.72
1964Q1,,,,,,,,,,,,,,,,,,,,200655750.29,,,,,,,,,,200655750.29
1964Q2,,,,,,,,,,,,,,,,,,,,180017810.37,,,,,,,,,,180017810.37
1964Q3,,,,,,,,,,,,,,,,,,,,213268825.99,,,,,,,,,,213268825.99
1964Q4,,,,,,,,,,,,,,,,,,,,208682410.20,,,,,,,,,,208682410.20
1965Q1,,,,,,,,,,,,,,,,,,,,246519814.99,,,,,,,,,,246519814.99
1965Q2,,,,,,,,,,,,,,,,,,,,219001386.81,,,,,,,,,,219001386.81
1965Q3,,,,,,,,,,,,,,,,,,,,229322145.81,,,,,,,,,,229322145.81
1965Q4,,,,,,,,,,,,,,,,,,,,271745966.38,,,,,,,,,,271745966.38
1966Q1,,,,,,,,,,,,,,,,,,,,243081366.55,,,,,,,,,,243081366.55
1966Q2,,,,,,,,,,,,,,,,,,,,244227524.90,,,,,,,,,,244227524.90
1966Q3,,,,,,,,,,,,,,,,,,,,206388311.12,,,,,,,,,,206388311.12
1966Q4,,,,,,,,,,,,,,,,,,,,363474095.79,,,,,,,,,,363474095.79
1967Q1,,,,,,,,,,,,,,,,,,,,403605599.67,,,,,,,,,,403605599.67
1967Q2,,,,,,,,,,,,,,,,,,,,456350165.94,,,,,,,,,,456350165.94
1967Q3,,,,,,,,,,,,,,,,,,,,458642482.63,,,,,,,,,,458642482.63
1967Q4,,,,,,,,,,,,,,,,,,,,506800659.72,,,,,,,,,,506800659.72
1968Q1,,,,,,,,,,,,,,,,,,,,384113831.40,,,,,,,,,,384113831.40
1968Q2,,,,,,,,,,,,,,,,,,,,577889080.12,,,,,,,,,,577889080.12
1968Q3,,,,,,,,,,,,,,,,,,,,678791823.48,,,,,,,,,,678791823.48
1968Q4,,,,,,,,,,,,,,,,,,,,779692757.85,,,,,,,,,,779692757.85
1969Q1,,,,,,,,,,,,,,,,,,,,729242317.27,,,,,,,,,,729242317.27
1969Q2,,,,,,,,,,,,,,,,,,,,687964601.84,,,,,,,,,,687964601.84
1969Q3,,,,,,,,,,,,,,,,,,,,880593745.42,,,,,,,,,,880593745.42
1969Q4,,,,,,,,,,,,,,,,,,,,1229162408.92,,,,,,,,,,1229162408.92
1970Q1,,,,,,,,,,,,,,,,,,,,1352995395.59,,,,,,,,,,1352995395.59
1970Q2,,,,,,,,,,,,,,,,,,,,1076663119.84,,,,,,,,,,1076663119.84
1970Q3,,,,,,,,,,,,,,,,,,,,1081249455.81,,,,,,,,,,1081249455.81
1970Q4,,,,,,,,,,,,,,,,,,,,1296812354.28,,,,,,,,,,1296812354.28
1971Q1,,,,,,,,,,,,,,,,,,,,1852915487.24,,,,,,,,,,1852915487.24
1971Q2,,,,,,,,,,,,,,,,,,,,2091410491.22,,,,,,,,,,2091410491.22
1971Q3,,,,,,,,,,,,,,,,,,,,1988215590.78,,,,,,,,,,1988215590.78
1971Q4,,,,,,,,,,,,,,,,,,,,2522534585.57,,,,,,,,,,2522534585.57
1972Q1,,,,,,,,,,,,,,,,,,,,2916967353.68,,,,,,,,,,2916967353.68
1972Q2,,,,,,,,,,,,,,,,,,,,3421473887.71,,,,,,,,,,3421473887.71
1972Q3,,,,,,,,,,,,,,,,,,,,3270120756.97,,,,,,,,,,3270120756.97
1972Q4,,,,,,,,,,,,,,,,,,,,4343345295.36,,,,,,,,,,4343345295.36
1973Q1,,,,,,,,,,,,,,,,,,,,3430646772.48,,,,,,,,,,3430646772.48
1973Q2,,,,,,,,,,,,,,,,,,,,2816064557.11,,,,,,,,,,2816064557.11
1973Q3,,,,,,,,,,,,,,,,,,,,2903208132.93,,,,,,,,,,2903208132.93
1973Q4,,,,,,,,,,,,,,,,,,,,1733669049.36,,,,,,,,,,1733669049.36
1974Q1,,,,,,,,,,,,,,,,,,,,1797878604.27,,,,,,,,,,1797878604.27
1974Q2,,,,,,,,,,,,,,,,,,,,1586903957.18,,,,,,,,,,1586903957.18
1974Q3,,,,,,,,,,,,,,,,,,,,793451978.59,,,,,,,,,,793451978.59
1974Q4,,,,,,,,,,,,,,,,,,,,784279200.24,,,,,,,,,,784279200.24
1975Q1,,,,,,,,,,,,,,,,,,,,1669459281.63,,,,,,,,,,1669459281.63
1975Q2,,,,,,,,,,,,,,,,,,,,1852915487.24,,,,,,,,,,1852915487.24
1975Q3,,,,,,,,,,,,,,,,,,,,1619008841.05,,,,,,,,,,1619008841.05
1975Q4,,,,,,,,,,,,,,,,,,,,1829983594.55,,,,,,,,,,1829983594.55
1976Q1,,,,,,,,,,,,,,,,,,,,2229002698.63,,,,,,,,,,2229002698.63
1976Q2,,,,,,,,,,,,,,,,,,,,2077651270.48,,,,,,,,,,2077651270.48
1976Q3,,,,,,,,,,,,,,,,,,,,1756601048.46,,,,,,,,,,1756601048.46
1976Q4,,,,,,,,,,,,,,,,,,,,1733669049.36,,,,,,,,,,1733669049.36
1977Q1,,,,,,,,,,,,,,,,,,,,1275026513.53,,,,,,,,,,1275026513.53
1977Q2,,,,,,,,,,,,,,,,,,,,1352995395.59,,,,,,,,,,1352995395.59
1977Q3,,,,,,,,,,,,,,,,,,,,1449309940.78,,,,,,,,,,1449309940.78
1977Q4,,,,,,,,,,,,,,,,,,,,1467655603.90,,,,,,,,,,1467655603.90
1978Q1,,,,,,,,,,,,,,,,,,,,1187884746.70,,,,,,,,,,1187884746.70
1978Q2,,,,,,,,,,,,,,,,,,,,1467655603.90,,,,,,,,,,1467655603.90
1978Q3,,,,,,,,,,,,,,,,,,,,1563971958.09,,,,,,,,,,1563971958.09
1978Q4,,,,,,,,,,,,,,,,,,,,1472242046.29,,,,,,,,,,1472242046.29
1979Q1,,,,,,,,,,,,,,,,,,,,1440137162.42,,,,,,,,,,1440137162.42
1979Q2,,,,,,,,,,,,,,,,,,,,1238335293.69,,,,,,,,,,1238335293.69
1979Q3,,,,,,,,,,,,,,,,,,,,1476828382.26,,,,,,,,,,1476828382.26
1979Q4,,,,,,,,,,,,,,,,,,,,1646527282.53,,,,,,,,,,1646527282.53
1980Q1,,,,,,,,,,,,,,,,,,,,1632768061.79,,,,,,,,,,1632768061.79
1980Q2,,,,,,,,,,,,,,,,,,,,1761187490.85,,,,,,,,,,1761187490.85
1980Q3,,,,,,,,,,,,,,,,,,,,1733669049.36,,,,,,,,,,1733669049.36
1980Q4,,,,,,,,,,,,,,,,,,,,1880433928.72,,,,,,,,,,1880433928.72
1981Q1,,,,,,,,,,,,,,,,,,,,2242761919.37,,,,,,,,,,2242761919.37
1981Q2,,,,,,,,,,,,,,,,,,,,2325317243.82,,,,,,,,,,2325317243.82
1981Q3,,,,,,,,,,,,,,,,,,,,1715323386.24,,,,,,,,,,1715323386.24
1981Q4,,,,,,,,,,,,,,,,,,,,1917125254.97,,,,,,,,,,1917125254.97
1982Q1,,,,,,,,,,,,,,,,,,,,1944643696.45,,,,,,,,,,1944643696.45
1982Q2,,,,,,,,,,,,,,,,,,,,2155620258.95,,,,,,,,,,2155620258.95
1982Q3,,,,,,,,,,,,,,,,,,,,2077651270.48,,,,,,,,,,2077651270.48
1982Q4,,,,,,,,,,,,,,,,,,,,2320730907.84,,,,,,,,,,2320730907.84
1983Q1,,,,,,,,,,,,,,,,,,,,2802305336.37,,,,,,,,,,2802305336.37
1983Q2,,,,,,,,,,,,,,,,,,,,2485843259.32,,,,,,,,,,2485843259.32
1983Q3,,,,,,,,,,,,,,,,,,,,2274866909.65,,,,,,,,,,2274866909.65
1983Q4,,,,,,,,,,,,,,,,,,,,1935470811.69,,,,,,,,,,1935470811.69
1984Q1,,,,,,,,,,,,,,,,,,,,2453738481.87,,,,,,,,,,2453738481.87
1984Q2,,,,,,,,,,,,,,,,,,,,1738255385.34,,,,,,,,,,1738255385.34
1984Q3,,,,,,,,,,,,,,,,,,,,2160206594.92,,,,,,,,,,2160206594.92
1984Q4,,,,,,,,,,,,,,,,,,,,2196897921.17,,,,,,,,,,2196897921.17
1985Q1,,,,,,,,,,,,,,,,,,,,2889448912.19,,,,,,,,,,2889448912.19
1985Q2,,,,,,,,,,,,,,,,,,,,3444405993.22,,,,,,,,,,3444405993.22
1985Q3,,,,,,,,,,,,,,,,,,,,3077491666.60,,,,,,,,,,3077491666.60
1985Q4,,,,,,,,,,,,,,,,,,,,4141541830.45,,,,,,,,,,4141541830.45
1986Q1,,,,,,,,,,,,,,,,,,,,5503711706.98,,,,,,,,,,5503711706.98
1986Q2,,,,,,,,,,,,,,,,,,,,8035417261.91,,,,,,,,,,8035417261.91
1986Q3,,,,,,,,,,,,,,,,,,,,5797241891.34,,,,,,,,,,5797241891.34
1986Q4,,,,,,,,,,,,,,,,,,,,6329266654.03,,,,,,,,,,6329266654.03
1987Q1,,,,,,,,,,,,,,,,,,,,9154506224.14,,,,,,,,,,9154506224.14
1987Q2,,,,,,,,,,,,,,,,,,,,10603815632.86,,,,,,,,,,10603815632.86
1987Q3,,,,,,,,,,,,,,,,,,,,11374336250.82,,,,,,,,,,11374336250.82
1987Q4,,,,,,,,,,,,,,,,,,,,8695863262.66,,,,,,,,,,8695863262.66
1988Q1,,,,,,,,,,,,,,,,,,,,8677517918.77,,,,,,,,,,8677517918.77
1988Q2,,,,,,,,,,,,,,,,,,,,9246233794.88,,,,,,,,,,9246233794.88
1988Q3,,,,,,,,,,,,,,,,,,,,9521419912.29,,,,,,,,,,9521419912.29
1988Q4,,,,,,,,,,,,,,,,,,,,9649839873.40,,,,,,,,,,9649839873.40
1989Q1,,,,,,,,,,,,,,,,,,,,11521100704.53,,,,,,,,,,11521100704.53
1989Q2,,,,,,,,,,,,,,,,,,,,13887697738.80,,,,,,,,,,13887697738.80
1989Q3,,,,,,,,,,,,,,,,,,,,17740293166.99,,,,,,,,,,17740293166.99
1989Q4,,,,,,,,,,,,,,,,,,,,16437748211.98,,,,,,,,,,16437748211.98
1990Q1,,,,,,,,,,,,,,,,,,,,16309329102.16,,,,,,,,,,16309329102.16
1990Q2,,,,,,,,,,,,,,,,,,,,18822690590.14,,,,,,,,,,18822690590.14
1990Q3,,,,,,,,,,,,,,,,,,,,13300633964.92,,,,,,,,,,13300633964.92
1990Q4,,,,,,,,,,,,,,,,,,,,14896710381.22,,,,,,,,,,14896710381.22
1991Q1,,,,,,,,,,,,,,,,,,,,17465109603.46,,,,,,,,,,17465109603.46
1991Q2,,,,,,,,,,,,,,,,,,,,16364366836.42,,,,,,,,,,16364366836.42
1991Q3,,,,,,,,,,,,,,,,,,,,16731280524.57,,,,,,,,,,16731280524.57
1991Q4,,,,,,,,,,,,,,,,,,,,16804663602.72,,,,,,,,,,16804663602.72
1992Q1,,,,,,,,,,,,,,,,,,,,22253338001.09,,,,,,,,,,22253338001.09
1992Q2,,,,,,,,,,,,,,,,,,,,21207631265.72,,,,,,,,,,21207631265.72
1992Q3,,,,,,,,,,,,,,,,,,,,21281014343.86,,,,,,,,,,21281014343.86
1992Q4,,,,,,,,,,,,,,,,,,,,25243686943.15,,,,,,,,,,25243686943.15
1993Q1,,,,,,,,,,,,,,,,,,,,26124280475.75,,,,,,,,,,26124280475.75
1993Q2,,,,,,,,,,,,,,,,,,,,23922794941.67,,,,,,,,,,23922794941.67
1993Q3,,,,,,,,,,,,,,,,,,,,22161607876.46,,,,,,,,,,22161607876.46
1993Q4,,,,,,,,,,,,,,,,,,,,25023539411.29,,,,,,,,,,25023539411.29
1994Q1,,,,,,,,,,,,,,,,,,,,24656624020.55,,,,,,,,,,24656624020.55
1994Q2,,,,,,,,,,,,,,,,,,,,24436476488.70,,,,,,,,,,24436476488.70
1994Q3,,,,,,,,,,,,,,,,,,,,22748672501.64,,,,,,,,,,22748672501.64
1994Q4,,,,,,,,,,,,,,,,,,,,27004874008.35,,,,,,,,,,27004874008.35
1995Q1,,,,,,,,,,,,,,,,,,,,31407841671.35,,,,,,,,,,31407841671.35
1995Q2,,,,,,,,,,,,,,,,,,,,32581967516.54,,,,,,,,,,32581967516.54
1995Q3,,,,,,,,,,,,,,,,,,,,33682711986.17,,,,,,,,,,33682711986.17
1995Q4,,,,,,,,,,,,,,,,,,,,34563305518.77,,,,,,,,,,34563305518.77
1996Q1,,,,,,,,,,,,,,,,,,,,37498615023.99,,,,,,,,,,37498615023.99
1996Q2,,,,,,,,,,,,,,,,,,,,36911553803.98,,,,,,,,,,36911553803.98
1996Q3,,,,,,,,,,,,,,,,,,,,37131701335.83,,,,,,,,,,37131701335.83
1996Q4,,,,,,,,,,,,,,,,,,,,40947607778.82,,,,,,,,,,40947607778.82
1997Q1,,,,,,,,,,,,,,,,,,,,42782179624.76,,,,,,,,,,42782179624.76
1997Q2,,,,,,,,,,,,,,,,,,,824033910.63,47111762507.02,,,,,,,,,,47935796417.65
1997Q3,,,,,,,,,,,,,,,,,,,2318996561.75,47331913444.05,,,,,,,,,,49650910005.80
1997Q4,,,,,,,,,,,,,,,,,,,2683693297.63,58119186772.28,,,,,,,,,,60802880069.91
1998Q1,,,,,,,,,,,,,,,,,,,3809779030.30,62668920591.57,,,,,,,,,,66478699621.87
1998Q2,,,,,,,,,,,,,,,,,,,8886242186.58,61678254995.63,,,,,,,,,,70564497182.21
1998Q3,,,,,,,,,,,,,,,,,,,9944124747.67,44690132846.25,,,,,,,,,,54634257593.93
1998Q4,,,,,,,,,,,,,,,,,,,28618595714.45,52835622171.51,,,,,,,,,,81454217885.96
1999Q1,,,,,,,,,,,,,,,,,,,46018044332.34,54816960173.74,,,,,,,,,,100835004506.08
1999Q2,,,,,,,,,,,,,,,,,,,33440331449.66,54266586236.34,,,,,,,,,,87706917686.00
1999Q3,,,,,,,,,,,,,,,,,,,42727457628.71,45790873910.71,,,,,,,,,,88518331539.42
1999Q4,,,,,,,,,,,,,,,,,,,40689635711.37,51514733575.19,,,,,,,,,,92204369286.56
2000Q1,,,,,,,,,,,,,,,,,,,35812222617.35,72648985167.93,,,948896172000.00,,,7241810386121.48,,,,8299167765906.77
2000Q2,,,,,,,,,,39700172250.00,,,,,,,,,19409422935.22,68356089568.28,1396447271205.00,,908229193200.00,,,3419084138400.00,,,,5851226287558.50
2000Q3,,,,,,,,,,45550723950.00,,,,,,,,,20545258896.14,67365417161.99,584559322830.00,,1209164836320.00,,,2398107682817.87,,,,4325293241976.01
2000Q4,26356373259.00,,,,,,,,,48434210145.00,,,,,,,,,8318324206.12,50964363042.96,140727244385.00,,1161720027720.00,,,942622531028.94,,,,2379143073787.02
2001Q1,50737720092.48,2796632693280.00,,175326533250.00,,,917411817970.00,965393863200.00,468777058750.00,40535965350.00,,,19146867624.00,245182249080.00,,119988974700.00,,,5468045499.82,50369960280.23,216503452900.00,237602229800.00,801139482360.00,187183040490.00,130725777270.23,1115951043966.06,,,,8544076775862.82
2001Q2,44948853620.00,2349948304770.00,,224630479570.00,,,750039080370.00,747561401760.00,376275900000.00,34685413650.00,87846439100.00,,18543038656.50,251592240074.78,,114656131380.00,,,7563327623.88,50880704869.65,159130037881.50,232345543300.00,771317031240.00,225874506960.00,113325424171.41,971114898848.94,,,,7532278757846.66
2001Q3,36435812122.48,1799684927620.00,,180639458500.00,,,605680094190.00,658448122080.00,311995433750.00,26745379200.00,56675122000.00,,11582537467.50,252393491700.00,,72126705903.00,,,3191029494.58,32793309283.33,136397175327.00,166006159670.00,387014081580.00,128622983130.00,70493765383.27,500990786343.03,,,,5437916374744.19
2001Q4,54483456854.95,2557106282050.00,,165763267800.00,,,553376113690.00,690875454408.00,311995433750.00,25073793000.00,42364653695.00,,12076579350.00,289050649020.66,,76437420920.00,,,5783406953.71,36491805525.42,142892278914.00,274924703950.00,527315158440.00,181431606285.00,105919110516.09,503365179311.97,,,,6556726354434.79
2002Q1,49103216324.48,2349948304770.00,,119222042610.00,,,723887090120.00,747561401760.00,397441419375.00,24948424035.00,45340097600.00,,13855130127.00,275830030215.00,,53817277171.00,7191234940.00,,7643504167.50,40648204956.19,229493660074.00,247589934150.00,399891958200.00,181431606285.00,97709715875.45,563911460929.47,,,,6576465713685.09
2002Q2,42224681712.52,2783685319700.00,,119222042610.00,,,724933169730.00,661913638512.00,420958663125.00,25867796445.00,37263892715.00,,12779216694.00,277031896649.34,,64260762006.00,4547398565.00,423431473.27,8685800508.94,33286442342.62,303104834060.00,302785142400.00,340924838940.00,162085873050.00,108506856695.32,395094181595.97,,,,6829585879529.98
2002Q3,51078242750.00,3081474912040.00,,69790586084.00,,,559652591350.00,512896431936.00,278287384375.00,22566413700.00,32304819540.00,,10781091747.00,263210355630.00,,59061239769.00,2049501990.17,293587200.65,8514757343.32,26664377615.40,194853107610.00,239179235750.00,424292145480.00,145354428090.00,97442012018.16,279700070187.02,,,,6359447292205.72
2002Q4,48422174127.00,2647737897110.00,,61077388674.00,,,500026053580.00,438140291760.00,233918184500.00,18805344750.00,28054185390.00,,8837860342.50,243980382645.66,,43418232697.00,2051617027.00,333235826.28,10096909333.34,28724967503.23,195719124725.18,123006464100.00,371425073040.00,93434662948.50,80398583801.70,321726312721.52,,,,5499334946602.90
2003Q1,40862594200.00,2880790621550.00,,52279184460.00,,,384957296480.00,302242540248.00,222473125875.00,16966599930.00,10938298546.00,,9156242889.00,213212399462.34,,38751994792.00,1522849752.00,615924599.61,13913315740.71,29975409979.01,248978970835.00,70544732830.00,235190694060.00,54011195761.50,81380142521.49,327662229930.00,,,,5236426364441.67
2003Q2,39159987147.52,2964948549820.00,,68685497632.00,,,443537754640.00,354225286728.00,229371517375.00,18512817165.00,12284332693.50,,10221177613.50,245783193300.66,,54617203669.00,1967014263.00,773311529.76,19413432112.86,34783453050.62,394036284278.00,89679071690.00,291446681400.00,64729777689.00,80933981320.77,540167792095.53,,,,5959278117213.72
2003Q3,42224681712.52,1845000735150.00,,79906395760.00,,,570113387450.00,404475274992.00,241757265750.00,24029051625.00,14877219525.00,,10781091747.00,334120915395.66,,65282890309.00,3066850195.00,1015745712.92,25886357724.01,35523150936.97,904984433122.00,119221649820.00,483937047720.00,72258927921.00,98245113394.52,1120699829903.94,,,,6497408015866.54
2003Q4,37321170408.52,1747895433300.00,,83094150910.00,,,606726173800.00,396059020800.00,267626233875.00,29252758500.00,17285912210.00,,9650284771.50,303473134260.66,,70393531824.00,3341809178.00,1655280704.06,28125958773.52,41088503425.07,1021896297688.00,107236404600.00,422936579520.00,69017210460.00,93248083477.25,778791416063.94,3082825718550.00,,,9218941067099.52
2004Q1,38751361205.52,1718763842745.00,,82584110086.00,,,613002651460.00,460171074792.00,327673596250.00,32219824005.00,16719160990.00,,12252238686.00,373782727798.69,,89102923805.00,5287672750.00,2065394248.58,23133627814.82,44012075315.37,1602125551460.00,119221649820.00,412092051840.00,53958909996.00,103063670675.09,1156315289678.94,5437762031331.25,,,12724061436753.26
2004Q2,41339323426.48,1922684976630.00,,84879293794.00,,,523039805000.00,443091029520.00,301020720000.00,30130341255.00,35138575640.00,,14645597139.00,359360264565.66,,79414925107.00,10575345500.00,2179195993.50,29077387855.77,44892668847.97,1803473762657.00,147187222000.00,375491770920.00,62795204365.50,108774560552.61,1139694712800.00,4538604530087.50,,,12097491213656.99
2004Q3,35141831012.00,1679921722005.00,,65072708462.00,,97717313570.00,468643665280.00,412396455408.00,269507613375.00,28500544710.00,30604565880.00,,13174450200.00,362965885875.66,,75770815505.00,8164166726.00,933422995.69,21840111126.96,39714776833.18,1552329757293.00,156544123970.00,330758094240.00,51972050907.00,70136835403.15,1213300025318.94,4196068339137.50,,,11181179275234.08
2004Q4,29284858137.48,1508369022070.00,,54871891982.00,,87599444590.00,464459346840.00,380959270632.00,261982095375.00,28834861950.00,33863385395.00,,14162533965.00,364167752310.00,,70749054712.00,6218303154.00,746374868.34,23673482826.22,48961010628.07,2533090398930.00,591902899900.00,321946915500.00,50926335597.00,72635350361.78,1184807657498.94,4213195148685.00,,,12347407395907.83
2005Q1,28195189998.00,1408026876825.00,,64010123412.00,,92924638790.00,529316282660.00,414871824288.00,327673596250.00,43670189475.00,51999424435.00,,20716822939.50,395416455658.69,,84214484095.00,8883290220.00,656785122.75,18317685379.53,50598916982.32,2024307284615.00,685471919600.00,322624698480.00,54743196478.50,92355761075.82,1049468910353.94,4298829196422.50,,88196469375.79,12155490022932.34
2005Q2,32894388331.00,1450105840960.00,,65965279904.00,,79212263725.00,449814232300.00,373533163992.00,287851063500.00,40828492935.00,44631658575.00,,25031455380.00,406233319588.69,,78303916082.00,19670142630.00,993351480.93,17686962471.76,44346701198.28,1924715696281.00,714909364000.00,317202434640.00,55109196837.00,100832859573.75,1032848333475.00,3990546624567.50,,115819808774.21,11669086551202.12
2005Q3,42224681712.52,407842267770.00,,84071729156.00,,98249832990.00,531408441880.00,432446943336.00,413119581875.00,50565482550.00,51432673215.00,,27556558335.00,377388349108.69,,84436685900.00,17449320075.00,1573258853.88,24213340386.36,42497453077.23,1879249971172.00,941998220800.00,346347102780.00,65357206875.00,106632970476.34,1495849310550.00,4555731339635.00,,98477800481.85,12176120522990.87
